iter	MultiClass
0	0.9655781513
1	0.864593188322	0.771737739533	0.6946214438
4	0.6300984335
5	0.5742573564
6	0.522589282377	0.477447666188	0.4360428849	9	0.3989389331010	0.3679409331111	0.3381745981212	0.3132834661313	0.2875096031414	0.26717238915	0.2501843
16	0.2323634394
17	0.2151345879
18	0.18	0.1985219	0.119	0.1854020	0.120	0.1727682201
21	0.1616496353
22	0.1515140007
23	0.1418897104
24	0.1336995558
25	0.1247426595
26	0.1176294284
27	0.1096628798
28	0.1032526463
29	0.09759195939
30	0.09130916286
31	0.08551774583
32	0.08059314083
33	0.07554895457
34	0.07133013884
35	0.06726135329
36	0.06348710246
37	0.06021077135
38	0.05707334666
39	0.05393400748
40	0.05094810919
41	0.04853440239
42	0.0460168588
43	0.04400863084
44	0.04140279318
45	0.03956055844
46	0.03751621093
47	0.03558029338
48	0.03376561603
49	0.03206848679
50	0.03051691327
51	0.0292234807
52	0.0280821377
53	0.026738654	0.54	0.025837255	0.55	0.02499061239
56	0.024008057	0.57	0.02298782461
58	0.021883459	0.59	0.020982360	0.60	0.020096461	0.61	0.0194699396
62	0.01876055367
63	0.0181274708
64	0.01745171317
65	0.01681322063
66	0.01632611967	67	0.0157641286868	0.01518710946969	0.01468579667070	0.01429652471	71	0.01383890469
72	0.01350872394
73	0.01309069974	74	0.01268433718
75	0.01229417309
76	0.01207329922
77	0.01173454178	78	0.01144678379	79	0.0111478680	080	0.01084147596
81	0.01063423526
82	0.01032267554
83	0.0100583284	084	0.00982806685	085	0.00959148186	086	0.00937497687	87	0.009180199088	88	0.008969129026
89	0.00876929590	090	0.00858429091	091	0.008381291583
92	0.008188012765
93	0.008009754344
94	0.007831223472
95	0.007675071365
96	0.007483652439
97	0.007472849196
98	0.007327578307
99	0.007167852802
100	0.007061096824
101	0.006936012316
102	0.006816001981
103	0.006802807119
104	0.006648865216
105	0.0065489106	0.106	0.006539275524
107	0.006447822583
108	0.006344395635
109	0.006237527777
110	0.00622782682
111	0.006218004253
112	0.006133351718
113	0.006020575553
114	0.006012163915
115	0.005934220543
116	0.005857722711
117	0.005762948196
118	0.005656969141
119	0.005566087168
120	0.005558776387
121	0.005468546788
122	0.005461282296
123	0.005385972485
124	0.005379047318
125	0.005307740078
126	0.005229490237
127	0.005146369737
128	0.005070368622
129	0.005063747215
130	0.004998642227
131	0.004992221306
132	0.004940869852
133	0.004875933942
134	0.004815691451
135	0.004754911502
136	0.004691946268
137	0.004686285476
138	0.004641682347
139	0.004586342544
140	0.004529689142
141	0.004477861855
142	0.004471029027
143	0.004465477367
144	0.004416425151
145	0.004365131011
146	0.004314983493
147	0.004258697019
148	0.004253117858
149	0.004248053315
150	0.004193744144
151	0.004147588262
152	0.004104580562
153	0.00405052298
154	0.004009542004
155	0.004004745385
156	0.003999819203
157	0.003995149918
158	0.003946243881
159	0.003900790532
160	0.003896463142
161	0.003892643297
162	0.003888840604
163	0.003839993925
164	0.003799365824
165	0.003795767487
166	0.003757072165
167	0.003723088975
168	0.003687361616
169	0.003651230106
170	0.003617092733
171	0.003582330483
172	0.003539940936
173	0.003506910248
174	0.003503525636
175	0.003468574654
176	0.00343174679
177	0.003428448459
178	0.003390297689
179	0.003387189456
180	0.003349785525
181	0.003315307561
182	0.003279358968
183	0.003245410633
184	0.003212014821
185	0.003183926179
186	0.003181376876
187	0.00317849301
188	0.003175399188
189	0.00314572193
190	0.003120628999
191	0.003090692791
192	0.003062734025
193	0.003032481183
194	0.003029488445
195	0.00302679277
196	0.00300008452
197	0.002974869568
198	0.002945221343
199	0.002922477082
200	0.002920023287
201	0.002898675673
202	0.002896335541
203	0.002877204	0.0204	0.002875205	0.002789633209
206	0.002786992844
207	0.002766336496
208	0.002741032167
209	0.002739043486
210	0.002713516372
211	0.002684628489
212	0.0212	0.002725213	0.0213	0.00272214	0.00214	0.0027215	0.002624953632
216	0.002604183709
217	0.002601607636
218	0.002584685135
